date,open,high,low,close
2009-03-09,1993.65,1993.65,1956.85,1966.85
2009-03-12,1992.85,2010.3,1983.45,1994.4
2009-03-13,2021.55,2068.15,2021.55,2064.6
2009-03-16,2073.7,2117.25,2058.95,2114.8
2009-03-17,2114.85,2138.9,2093.0,2104.05
2009-03-18,2128.8,2161.3,2128.2,2134.9
2009-03-19,2148.2,2158.1,2121.8,2145.25
2009-03-20,2134.6,2146.55,2118.85,2139.7
2009-03-23,2169.85,2235.45,2169.4,2230.55
2009-03-24,2254.95,2285.15,2210.05,2224.25
2009-03-25,2224.65,2261.8,2213.4,2255.6
2009-03-26,2280.25,2328.65,2275.4,2314.2
2009-03-27,2310.7,2350.3,2303.9,2343.7
2009-03-30,2299.5,2307.55,2248.8,2259.5
2009-03-31,2270.55,2315.05,2261.5,2294.85
2009-04-01,2282.1,2328.75,2265.9,2324.75
2009-04-02,2390.2,2441.45,2387.1,2429.05
2009-04-06,2486.75,2496.4,2445.15,2473.3
2009-04-08,2404.35,2544.65,2398.15,2537.55
2009-04-09,2558.25,2578.7,2520.05,2545.95
2009-04-13,2564.25,2622.3,2550.95,2598.95
2009-04-15,2556.4,2698.55,2556.4,2691.3
2009-04-16,2707.1,2727.75,2582.75,2593.9
2009-04-17,2623.25,2690.0,2593.7,2612.6
2009-04-20,2628.35,2663.5,2591.65,2621.7
2009-04-21,2580.45,2644.85,2580.45,2612.65
2009-04-22,2630.4,2646.95,2563.5,2584.9
2009-04-23,2596.05,2655.1,2564.1,2646.0
2009-04-24,2650.4,2696.1,2640.45,2689.95
2009-04-27,2671.15,2716.8,2655.6,2674.75
2009-04-28,2675.2,2675.2,2581.7,2588.4
2009-04-29,2621.8,2607.05,2669.9,2662.95
2009-05-04,2707.45,2792.15,2707.45,2788.05
2009-05-05,2786.2,2818.3,2775.35,2808.65
2009-05-06,2805.7,2853.5,2765.1,2778.3
2009-05-07,2809.35,2834.55,2791.15,2831.55
2009-05-08,2831.4,2850.25,2762.7,2795.95
2009-05-11,2822.65,2822.65,2731.75,2748.65
2009-05-12,2738.7,2831.3,2729.65,2825.5
2009-05-13,2836.6,2851.75,2788.45,2799.05
2009-05-14,2735.15,2795.3,2735.15,2786.05
2009-05-15,2813.65,2850.3,2813.65,2833.65
2009-05-18,3197.95,3291.5,3197.95,3293.35
2009-05-19,3354.85,3433.35,3166.0,3309.05
2009-05-20,3277.45,3380.15,3277.45,3341.65
2009-05-21,3336.85,3416.2,3313.75,3327.65
2009-05-22,3314.85,3360.75,3284.85,3355.05
2009-05-25,3379.0,3409.9,3354.35,3401.7
2009-05-26,3414.15,3432.85,3288.0,3309.7
2009-05-27,3369.05,3446.25,3369.05,3442.3
2009-05-28,3460.65,3498.1,3450.1,3487.7
2009-05-29,3516.95,3612.3,3516.95,3579.9
2009-06-01,3649.85,3663.0,3608.8,3654.2
2009-06-02,3689.4,3689.4,3586.45,3641.5
2009-06-03,3671.2,3691.15,3612.7,3656.5
2009-06-04,3619.95,3711.7,3618.35,3708.1
2009-06-05,3737.4,3762.35,3699.65,3710.5
2009-06-08,3728.5,3736.95,3543.55,3562.7
2009-06-09,3537.8,3668.75,3500.15,3661.25
2009-06-10,3717.5,3766.9,3707.5,3732.8
2009-06-11,3743.3,3744.9,3673.3,3711.1
2009-06-12,3741.25,3760.8,3652.0,3664.9
2009-06-15,3639.1,3677.75,3582.3,3594.25
2009-06-16,3545.2,3650.8,3545.2,3639.4
2009-06-17,3634.8,3643.9,3486.95,3504.3
2009-06-18,3500.2,3520.7,3384.55,3412.45
2009-06-19,3449.45,3468.3,3378.15,3458.85
2009-06-22,3474.45,3489.0,3397.15,3408.1
2009-06-23,3367.95,3434.7,3342.65,3420.45
2009-06-24,3451.45,3476.05,3410.95,3467.1
2009-06-25,3484.8,3500.1,3423.65,3433.15
2009-06-26,3464.1,3525.85,3452.1,3521.85
2009-06-29,3534.75,3585.3,3521.1,3555.3
2009-06-30,3582.45,3586.5,3454.55,3469.7
